,country,article_name,article_quality_est.,population
29593,Argentina,Juan Pablo Schiavi,C,45377000.0
29594,Switzerland,Otto Stich,Stub,8634000.0
29595,Switzerland,Willi Ritschard,Stub,8634000.0
29596,Switzerland,Lilian Uchtenhagen,Start,8634000.0
29597,Switzerland,Jean-Pascal Delamuraz,Start,8634000.0
29598,Switzerland,Karl Scheurer,Stub,8634000.0
29599,Switzerland,Eduard Müller (Swiss politician),Start,8634000.0
29600,Switzerland,Philipp Etter,Start,8634000.0
29601,Switzerland,Jean Bourgknecht,Stub,8634000.0
29602,Switzerland,Roger Bonvin,Stub,8634000.0
29603,Switzerland,Hans Hürlimann,Stub,8634000.0
29604,Switzerland,Alphons Egli,Stub,8634000.0
29605,Switzerland,Ruth Dreifuss,C,8634000.0
29606,Switzerland,Adolf Ogi,Start,8634000.0
29607,Switzerland,Corina Casanova,Start,8634000.0
29608,Switzerland,Annemarie Huber-Hotz,Start,8634000.0
29609,Switzerland,François Couchepin,Start,8634000.0
29610,Switzerland,Hans Schatzmann,Stub,8634000.0
29611,Switzerland,Gottlieb Ringier,Start,8634000.0
29612,Switzerland,Adolf von Steiger,Stub,8634000.0
29613,Switzerland,Robert Käslin,Stub,8634000.0
29614,Switzerland,George Bovet,Stub,8634000.0
29615,Switzerland,Karl Huber (politician),Start,8634000.0
29616,Switzerland,Charles Oser,Stub,8634000.0
29617,Switzerland,Oskar Leimgruber,Start,8634000.0
29618,Switzerland,Ursula Wyss,Start,8634000.0
29619,Switzerland,Nelly Wicky,Stub,8634000.0
29620,Switzerland,Christine Egerszegi,Stub,8634000.0
29621,Switzerland,Jacqueline Fehr,Start,8634000.0
29622,Switzerland,Ursula Koch,C,8634000.0
29623,Switzerland,Chantal Galladé,Start,8634000.0
29624,Switzerland,Regula Rytz,C,8634000.0
29625,Switzerland,Marlies Bänziger,Start,8634000.0
29626,Switzerland,Balthasar Glättli,Start,8634000.0
29627,Switzerland,Daniel Jositsch,Start,8634000.0
29628,Switzerland,Alfred Rasser,C,8634000.0
29629,Poland,Bogdan Lis,Start,38368000.0
29630,Switzerland,Johann Konrad Kern,C,8634000.0
29631,Switzerland,Jonas Furrer,Start,8634000.0
29632,Switzerland,François Briatte,Stub,8634000.0
29633,Switzerland,Johann Jakob Rüttimann,Stub,8634000.0
29634,Switzerland,Paul Migy,Stub,8634000.0
29635,Switzerland,Johann Jakob Stehlin,Stub,8634000.0
29636,Switzerland,Friedrich Peyer im Hof,Stub,8634000.0
29637,Switzerland,Johann Baptist Weder,Stub,8634000.0
29638,Switzerland,Hans von Hallwyl (1835–1909),Stub,8634000.0
29639,Switzerland,Josef Stutz,Stub,8634000.0
29640,Burkina Faso,Bognessan Arsène Yé,Start,20903000.0
29642,Poland,Bogusław Ziętek,Start,38368000.0
29643,Ukraine,Bohdan Boyko,Stub,41778000.0
29644,Ukraine,Bohdan Horyn,Stub,41778000.0
29645,Netherlands,Louis Napoleon van der Goes van Dirxland,Stub,17467000.0
29646,Sweden,Camilla Sköld Jansson,Stub,10377000.0
29647,Angola,Juilão Mateus Paulo,Stub,32522000.0
29648,Portugal,Francisco Cunha Leal,Stub,10255000.0
29649,Saudi Arabia,Ibn Humaid,Stub,35041000.0
29650,Brazil,José Fortunati,Stub,211812000.0
29651,France,Georges Képénékian,Start,64940000.0
29652,Ireland,Mary Flaherty (politician),Start,5003000.0
29654,Palestinian Territory,Khalida Jarrar,GA,5008000.0
29655,Pakistan,Khan Abdul Jabbar Khan,C,220940000.0
29656,Papua New Guinea,Boka Kondra,C,8950000.0
29658,Nigeria,Bola Afonja,Stub,206140000.0
29659,Thailand,Charun Rattanakun Seriroengrit,Stub,66534000.0
29660,Bolivia,"Bolivian National Congress, 1993–97",Start,11633000.0
29661,New Zealand,William Murison,Stub,4987000.0
29662,Taiwan,Wu Ming-ji,Stub,23610000.0
29663,Lebanon,Tony Frangieh,C,6825000.0
29664,Sierra Leone,Bomba Jawara,Stub,7977000.0
29665,Israel,Beit HaNassi,Start,9216000.0
29666,Ecuador,Alfredo Palacio,Start,17511000.0
29667,Ecuador,Jamil Mahuad,Start,17511000.0
29668,Colombia,Jacquin Strouss Lucena,Start,49444000.0
29669,Colombia,Ana Milena Muñoz Gómez,Stub,49444000.0
29670,Colombia,Rosa Helena Álvarez Yepes,Stub,49444000.0
29671,Colombia,Susana López Navia,Stub,49444000.0
29672,Colombia,Carolina Correa Londoño,Start,49444000.0
29673,Colombia,Bertha Hernández Fernández,Start,49444000.0
29674,Colombia,Lorenza Villegas Restrepo,Stub,49444000.0
29675,Uruguay,Danilo Astori,Start,3531000.0
29676,Finland,Jaakko Laakso,Stub,5529000.0
29677,Costa Rica,Rafael Ángel Calderón Fournier,C,5111000.0
29678,Costa Rica,León Cortés Castro,Start,5111000.0
29683,Armenia,Rita Sargsyan,Stub,2956000.0
29684,Austria,Margot Klestil-Löffler,Start,8914000.0
29685,Kenya,Bonaya Godana,Stub,53528000.0
29687,Japan,Kenji Ogiwara,Start,125967000.0
29688,France,Marion Lenne,Stub,64940000.0
29689,France,Dimitri Houbron,Stub,64940000.0
29690,Kenya,Bonny Khalwale,Start,53528000.0
29691,Turkey,Mehmet Müezzinoğlu,C,83737000.0
29692,Sri Lanka,Sarath Amunugama (politician),Start,21937000.0
29693,Pakistan,Mir Thebo,Start,220940000.0
29694,Monaco,Jean Reymond,Stub,38000.0
29695,Panama,Ricardo Joaquín Alfaro Jované,C,4283000.0
29696,China,Han Changfu,Stub,1402385000.0
29697,Pakistan,Haidar Abbas Rizvi,Stub,220940000.0
29698,India,Hari Dev Joshi,Start,1400100000.0
29699,Taiwan,Chang Ching-hui,Start,23610000.0
29700,Jamaica,Olivia Grange,Stub,2809000.0
29701,Spain,Ignacio Astarloa,Start,47635000.0
29702,Taiwan,Chen Hsiu-hui,Start,23610000.0
29703,Turkey,İsmet Yılmaz,Start,83737000.0
29704,China,Ni Yuanlu,Stub,1402385000.0
29705,Italy,Christian Abbiati,C,60296000.0
29706,Australia,David Dalgleish,Stub,25754000.0
29707,Canada,25th Canadian Ministry,Stub,38190000.0
29708,Thailand,Banyat Bantadtan,Start,66534000.0
29709,United States,John Sandy,Start,329878000.0
29710,Ghana,John Peter Amewu,Stub,31073000.0
29711,Netherlands,Boris Dittrich,C,17467000.0
29712,Norway,Henriette Westhrin,Start,5387000.0
29713,Canada,John Norquay,B,38190000.0
29714,Canada,James McKay (fur trader),Start,38190000.0
29715,Canada,Maxime Goulet,Start,38190000.0
29716,Japan,Purge (occupied Japan),C,125967000.0
29718,Moldova,Boris Vieru,Stub,3535000.0
29719,India,As'ad Madani,Stub,1400100000.0
29720,Russia,Mikhail Loris-Melikov,C,146733000.0
29721,United Kingdom,Cosmo Haskard,Start,67160000.0
29723,Chile,Francisco Bilbao,C,19470000.0
29724,Netherlands,Schelto van Heemstra,Start,17467000.0
29725,Nepal,Padma Bahadur Khatri,Stub,29996000.0
29726,Yemen,Ja'da bint al-Ash'at,Start,29826000.0
29728,India,V. C. Palanisami Gounder,Stub,1400100000.0
29729,Ukraine,Kostiantyn Sytnyk,Stub,41778000.0
29730,Belarus,Lidia Yermoshina,Start,9375000.0
29731,Argentina,Oscar Camilión,Stub,45377000.0
29732,"Korea, South",Pak Chun-hong,Start,51781000.0
29733,Morocco,Khadija Ryadi,Stub,35952000.0
29734,Saudi Arabia,Mutaib bin Abdulaziz Al Saud,GA,35041000.0
29736,Cambodia,Khieu Samphan,C,15497000.0
29737,Somalia,Botan Ise Alin,Stub,15893000.0
29738,United States,List of Italian-American politicians by state,B,329878000.0
29739,Finland,Anna Kontula,Start,5529000.0
29740,Italy,Giuseppe Pisanu,Start,60296000.0
29741,Croatia,Relja Bašić,Start,4020000.0
29742,Kenya,First Lady of Kenya,Stub,53528000.0
29743,Niger,Boukary Adji,Stub,24189000.0
29744,Iran,Hassan Rahimpour Azghadi,Start,84150000.0
29747,Egypt,Suzanne Mubarak,GA,100803000.0
29748,Laos,Bountiem Phissamay,Stub,7242000.0
29749,Australia,Belinda Neal,Start,25754000.0
29750,Myanmar,Hso Khan Pha,C,54704000.0
29751,Argentina,Rodolfo Frigeri,Start,45377000.0
29752,Thailand,Seng Saekhu,Start,66534000.0
29753,Netherlands,Raymond de Roon,Start,17467000.0
29754,Lebanon,Boutros Harb,C,6825000.0
29755,Australia,Phil Cleary,C,25754000.0
29756,Jamaica,Edward Morgan (governor),Stub,2809000.0
29757,Netherlands,Peter Lankhorst,Start,17467000.0
29758,Malaysia,Lily Eberwein,Start,32781000.0
29759,India,Hemchandra Kanungo,Start,1400100000.0
29760,Italy,Brunetto Latini,C,60296000.0
29761,Serbia,Momčilo Janković,Stub,6957000.0
29763,Montenegro,Božidar Ivanović,Start,622000.0
29764,Slovenia,Božidar Jakac,C,2103000.0
29765,Turkey,Beril Dedeoğlu,C,83737000.0
29766,Croatia,Božo Kovačević (politician),Stub,4020000.0
29767,Canada,Dominique Anglade,Start,38190000.0
29768,Canada,Lise Bacon,Start,38190000.0
29769,Canada,Stephanie Cadieux,Start,38190000.0
29770,Australia,Rita Saffioti,Start,25754000.0
29771,Canada,Elinor Caplan,C,38190000.0
29772,Turkey,Ayşenur İslam,C,83737000.0
29773,Canada,Andrée Champagne,Start,38190000.0
29774,Canada,Mabel DeWare,Start,38190000.0
29775,Canada,Sheila Finestone,Start,38190000.0
29776,Taiwan,Pasuya Yao,Start,23610000.0
29777,Japan,Seizō Kobayashi,Start,125967000.0
29778,Japan,Ōta Masahiro,Stub,125967000.0
29779,Germany,Arthur Goldstein,Start,83300000.0
29780,Thailand,Tawatwong na Chiang Mai,Start,66534000.0
29781,India,David Jacob Cohen,Stub,1400100000.0
29782,Norway,Per-Kristian Foss,Start,5387000.0
29783,Australia,Athol Meyer,Stub,25754000.0
29784,Iran,Mehdi Hashemi Rafsanjani,C,84150000.0
29785,Bahamas,Bradley Cooper (athlete),Start,393000.0
29786,Iran,Ashraf Dehghani,Start,84150000.0
29787,Norway,Ragnvald Paulson,Stub,5387000.0
29788,Ukraine,Oksana Shachko,C,41778000.0
29789,Poland,Adam Daniel Rotfeld,C,38368000.0
29790,Guatemala,Víctor Manuel Gutiérrez,Stub,18066000.0
29791,Austria,Andreas Zelinka,Start,8914000.0
29792,Denmark,Christian Friis Bach,Stub,5829000.0
29793,Albania,Rexhep Jella,Stub,2838000.0
29794,Belarus,Gennady Grushevoy,Stub,9375000.0
29795,Suriname,Bram Behr,Stub,605000.0
29796,United States,Nancy Lord,Start,329878000.0
29797,United Kingdom,Claude Wilton,Start,67160000.0
29798,Australia,Alexander Wilson (Australian politician),Start,25754000.0
29799,Poland,Anna Borucka-Cieślewicz,Stub,38368000.0
29800,Belgium,Yoleen Van Camp,Start,11515000.0
29801,South Africa,Stanley Ntapane,Stub,59628000.0
29802,Serbia,Branislav Andjelić,C,6957000.0
29804,Bosnia-Herzegovina,Dževad Galijašević,Start,3281000.0
29805,Pakistan,Mian Muhibullah Kakakhel,C,220940000.0
29806,Italy,Franca Falcucci,Start,60296000.0
29807,Italy,Tina Anselmi,C,60296000.0
29808,Italy,Rosy Bindi,Start,60296000.0
29809,Italy,Giovanna Melandri,Start,60296000.0
29810,Italy,Barbara Pollastrini,Start,60296000.0
29811,Italy,Mariastella Gelmini,C,60296000.0
29812,Italy,Michela Vittoria Brambilla,Start,60296000.0
29813,Italy,Anna Finocchiaro,Start,60296000.0
29814,Italy,Maria Carmela Lanzetta,Stub,60296000.0
29815,Italy,Marianna Madia,Start,60296000.0
29816,Spain,Soledad Becerril,Start,47635000.0
29817,Spain,Carmen Alborch,Start,47635000.0
29818,Spain,Cristina Alberdi,Start,47635000.0
29819,Spain,Loyola de Palacio,Start,47635000.0
29820,Spain,Isabel Tocino,Stub,47635000.0
29821,Spain,Julia García-Valdecasas,Start,47635000.0
29822,Spain,Elena Espinosa,Stub,47635000.0
29823,Spain,María Antonia Trujillo,Stub,47635000.0
29824,Spain,Rosa Aguilar,Start,47635000.0
29825,Luxembourg,Lydia Mutsch,Stub,632000.0
29826,Malta,Paul Borg Olivier,Start,522000.0
29827,India,Political families of West Bengal,Start,1400100000.0
29828,France,Olga Givernet,Stub,64940000.0
29829,India,Parthasarathy Reddy,Stub,1400100000.0
29830,Canada,Larry Grossman (politician),C,38190000.0
29831,France,Nicolas About,Stub,64940000.0
29832,China,Qiu Fengjia,Start,1402385000.0
29833,France,Patrick Vignal,Stub,64940000.0
29834,Switzerland,Paul Lüönd,Stub,8634000.0
29835,Brazil,Ariano Fernandes,Stub,211812000.0
29836,United Kingdom,Phillip Broughton,Start,67160000.0
29837,Spain,Gabriel Milan,B,47635000.0
29838,France,Joachim Son-Forget,Stub,64940000.0
29839,Taiwan,Chiu Chuang-liang,Start,23610000.0
29840,Taiwan,Hsu Jung-shu,GA,23610000.0
29843,India,C. Jayan Babu,Stub,1400100000.0
29844,India,M. Bhaskaran,Stub,1400100000.0
29845,Russia,Igor Gorynin,Start,146733000.0
29846,Spain,Domingo de Basavilbaso,C,47635000.0
29847,Brazil,Valdir Raupp,Stub,211812000.0
29848,Brazil,Confúcio Moura,Stub,211812000.0
29849,China,Wang Dongxing,Start,1402385000.0
29850,Spain,Manuel Antonio Warnes,Stub,47635000.0
29851,Dominican Republic,Tomás Bobadilla,Start,10500000.0
29852,Spain,Víctor Casco de Mendoza,Stub,47635000.0
29853,Cuba,José Núñez de Cáceres,C,11281000.0
29854,Spain,Nicolás Colman,Stub,47635000.0
29855,Spain,Miguel Antonio de Merlos,Start,47635000.0
29856,Pakistan,Ibn Abdur Rehman,Start,220940000.0
29857,Brazil,João Vaccari Neto,Start,211812000.0
29858,Ethiopia,Teferra Wolde-Semait,C,114916000.0
29859,United Kingdom,Bill Connor (trade unionist),Stub,67160000.0
29860,Turkey,Nabi Avcı,Start,83737000.0
29861,Switzerland,Christian Levrat,Stub,8634000.0
29862,Switzerland,Ralph Lewin,Stub,8634000.0
29863,South Africa,Khume Ramulifho,Stub,59628000.0
29864,China,Ruan Yuan,Start,1402385000.0
29865,France,Stéphane Trompille,Stub,64940000.0
29866,France,Aude Bono-Vandorme,Stub,64940000.0
29867,France,Julien Dive,Stub,64940000.0
29868,France,Mireille Robert,Stub,64940000.0
29869,France,Jean-Marie Fiévet,Stub,64940000.0
29870,Philippines,Francis Zamora,Start,109581000.0
29871,Ethiopia,Alemayehu Atomsa,C,114916000.0
29872,Lithuania,Jonas Vailokaitis,Stub,2794000.0
29873,Ireland,Mark Clinton,Start,5003000.0
29874,Morocco,Mohamed Bouzoubaa,Stub,35952000.0
29875,Mali,First Lady of Mali,Start,20251000.0
29876,New Zealand,Colin Kay,C,4987000.0
29877,Morocco,Youssef Amrani,Start,35952000.0
29878,Taiwan,Roy Leu,Start,23610000.0
29879,Australia,Horatio Wills,Start,25754000.0
29880,Gabon,Paul Mba Abessole,C,2231000.0
29881,New Zealand,Barrie Hutchinson,Stub,4987000.0
29882,Iran,Kazem Seddiqi,Start,84150000.0
29883,France,Joël Giraud,Stub,64940000.0
29884,China,Huang Lixin,Start,1402385000.0
29885,Albania,Flamur Noka,Stub,2838000.0
29886,Hungary,Péter Vályi,Start,9767000.0
29887,France,Cédric Roussel (politician),Stub,64940000.0
29888,Turkey,Ahmet Türk,Start,83737000.0
29889,France,Laurence Trastour-Isnart,Stub,64940000.0
29890,Cyprus,George Vasiliou,C,1207000.0
29891,Turkey,Süleyman Yağcıoğlu,Stub,83737000.0
29892,Japan,Takeshi Noma,Stub,125967000.0
29893,France,Georges Bidault,C,64940000.0
29894,Cambodia,Sisowath Sirik Matak,C,15497000.0
29895,Thailand,Pallop Pinmanee,C,66534000.0
29896,Philippines,Cherrylyn Santos,Stub,109581000.0
29897,Turkmenistan,Kakaev Yakshigeldy,Stub,6031000.0
29898,Pakistan,Raja Riaz Ahmad Khan,Stub,220940000.0
29899,Armenia,Robert Beglarian,Start,2956000.0
29900,Sierra Leone,Yahya Kanu,Start,7977000.0
29901,Iran,Kamal Daneshyar,Stub,84150000.0
29902,Belgium,Édouard Descamps,Start,11515000.0
29903,Iran,Elaheh Koulaei,Stub,84150000.0
29904,Iran,Hushang Hamidi,Stub,84150000.0
29905,Iran,Amir Reza Khadem,Start,84150000.0
29906,Iran,Hamid Reza Katouzian,Start,84150000.0
29907,Iran,Hossein Kamali,Stub,84150000.0
29908,Iran,Jalal Jalalizadeh,Stub,84150000.0
29909,Namibia,Monica Geingos,Stub,2541000.0
29910,Zambia,Esther Lungu,C,18384000.0
29911,Finland,Mikhail Borovitinov,Start,5529000.0
29912,Mexico,José María Tornel,Start,127792000.0
29913,Netherlands,Tim Mudde,Start,17467000.0
29914,Iran,Azam Taleghani,Start,84150000.0
29915,Iran,Esmail Shooshtari,Stub,84150000.0
29916,Armenia,Levon Davidian,Stub,2956000.0
29917,Iran,Bahaedin Adab,Start,84150000.0
29918,United States,Spencer Darwin Pettis,C,329878000.0
29919,Iran,Mousa Qorbani,Stub,84150000.0
29920,United Kingdom,"Ian Fraser, Baron Fraser of Lonsdale",C,67160000.0
29921,Tonga,Afuʻalo Matoto,Start,99000.0
29922,Turkey,Murat Karayalçın,Start,83737000.0
29923,Tonga,Fatafehi Tuʻipelehake,C,99000.0
29924,Sao Tome and Principe,Maria Tomé,Stub,210000.0
29925,India,K. Venkatesh,Stub,1400100000.0
29926,India,Madhavrao Bagal,C,1400100000.0
29927,France,Adrien Quatennens,Stub,64940000.0
29928,Niger,Brigi Rafini,B,24189000.0
29929,Iran,Amir Nosrat'ollah Balakhanlou,Start,84150000.0
29930,France,Brigitte Neveux,Stub,64940000.0
29931,Netherlands,Brigitte van der Burg,Stub,17467000.0
29932,Fiji,Brij Lal,Stub,896000.0
29933,Tonga,Sonatane Tuʻa Taumoepeau-Tupou,C,99000.0
29934,Iran,Mahammad Ali Tarbiat,Stub,84150000.0
29935,Iran,Mohammad Khiabani,Start,84150000.0
29936,Portugal,José Correia da Serra,C,10255000.0
29937,Nigeria,Brimmo Yusuf,Stub,206140000.0
29938,Indonesia,Rizal Nurdin,Start,271739000.0
29939,Spain,Lorenzo Bernal del Mercado,Start,47635000.0
29940,Israel,List of Israeli politicians,B,9216000.0
29941,Morocco,Yassir Znagui,Stub,35952000.0
29942,Iran,Jamshid Bahman Jamshidian,Start,84150000.0
29943,Congo,Anatole Collinet Makosso,Start,5518000.0
29944,Philippines,Leticia Ramos-Shahani,C,109581000.0
29945,Kenya,Philip Kaloki,Stub,53528000.0
29946,Ukraine,Liliya Hrynevych,C,41778000.0
29947,Colombia,Eduardo Valencia Ospina,Stub,49444000.0
29948,Namibia,Albert Kawana,Start,2541000.0
29949,Russia,Galina Khovanskaya,Stub,146733000.0
29950,Philippines,Nerissa Corazon Soon-Ruiz,Stub,109581000.0
29951,Nigeria,T. O. S. Benson,GA,206140000.0
29952,Poland,Wojciech Trąmpczyński,Stub,38368000.0
29953,Brazil,José Dirceu,C,211812000.0
29954,China,Ning Jizhe,Start,1402385000.0
29955,Angola,Brito Sozinho,Stub,32522000.0
29957,France,Muriel Ressiguier,Stub,64940000.0
29958,France,Éric Coquerel,Stub,64940000.0
29959,France,Caroline Fiat,Stub,64940000.0
29960,France,Bastien Lachaud,Stub,64940000.0
29961,France,Mathilde Panot,Stub,64940000.0
29962,France,Sabine Rubin,Stub,64940000.0
29963,India,K. Kunhali,Start,1400100000.0
29964,France,Audrey Dufeu-Schubert,Stub,64940000.0
29965,France,Christophe Arend,Stub,64940000.0
29966,Iran,Ali Mansur,Stub,84150000.0
29967,Iran,Mohammad Sa'ed,Start,84150000.0
29968,Iran,Ebrahim Hakimi,Start,84150000.0
29969,Iran,Ali Soheili,Start,84150000.0
29970,Iran,Ahmad Matin-Daftari,Stub,84150000.0
29971,Iran,Mahmoud Djam,Start,84150000.0
29972,Iran,Abdol Majid Mirza,Stub,84150000.0
29973,Iran,Mohammad Vali Khan Tonekaboni,C,84150000.0
29974,Iran,Abolqasem Naser ol-Molk,Stub,84150000.0
29975,Iran,Mirza Ali Asghar Khan Amin al-Soltan,C,84150000.0
29976,Iran,Morteza Gholi Khan Hedayat,Stub,84150000.0
29978,Pakistan,Muhammad Ijaz Virk,Stub,220940000.0
29979,Pakistan,Sahabzada Muhammad Mehboob Sultan,Stub,220940000.0
29980,Taiwan,List of Vice Presidents of the Republic of China,Start,23610000.0
29981,Pakistan,Farkhanda Amjad,Stub,220940000.0
29982,Ghana,Edwin Nii Lante Vanderpuye,Stub,31073000.0
29983,Ghana,Kobina Sekyi,Start,31073000.0
29985,Pakistan,Zahra Shahid Hussain,Start,220940000.0
29986,Lithuania,Bronislovas Genzelis,Stub,2794000.0
29987,Australia,List of Indigenous Australian politicians,C,25754000.0
29988,Israel,Ramiz Jaraisy,Stub,9216000.0
29989,Australia,Bronwyn Pike,Start,25754000.0
29990,Pakistan,Rana Mohammad Hanif Khan,Stub,220940000.0
29991,Ukraine,Yuriy Lutsenko,GA,41778000.0
29993,Colombia,Manuel María Ramírez Fortoul,Start,49444000.0
29995,Australia,Al Grassby,C,25754000.0
29996,Pakistan,Muhammad Hanif Malik,Stub,220940000.0
29997,Poland,Giovanni Giuda Giona Battista,Stub,38368000.0
29998,Pakistan,Sahabzada Syed Murtaza Amin,Stub,220940000.0
29999,Pakistan,Sumaira Yasir Rasheed,Stub,220940000.0
30000,Iran,Majid Khodabakhsh,Stub,84150000.0
30001,Iran,Parviz Kazemi,Stub,84150000.0
30002,Pakistan,Nawab Zada Wali Muhammad Khan,Stub,220940000.0
30004,Jamaica,Carl Rattray,Start,2809000.0
30005,Somalia,Abdirahman Haji Aden Ibbi,Stub,15893000.0
30006,Syria,Omar Abu Risha,Start,19398000.0
30007,Myanmar,Hla Myint Swe (minister),Start,54704000.0
30008,France,Benoit Simian,Stub,64940000.0
30009,Norway,Láilá Susanne Vars,C,5387000.0
30010,France,Véronique Hammerer,Stub,64940000.0
30011,France,Olivier Falorni,Stub,64940000.0
30012,Peru,Luis A. Eguiguren,C,32824000.0
30013,Dominican Republic,Francisco del Rosario Sánchez,Start,10500000.0
30014,Russia,Lyudmila Alexeyeva,C,146733000.0
30015,Iceland,Ómar Ragnarsson,Start,368000.0
30017,Gambia,Lamin Saine,Start,2417000.0
30018,Italy,Bruno Ferrante,Stub,60296000.0
30019,Switzerland,Bruno Frick,Stub,8634000.0
30020,Belgium,Bruno Tobback,Start,11515000.0
30021,Germany,Bruno Vogel,Start,83300000.0
30022,Malta,Pierre Jean Louis Ovide Doublet,C,522000.0
30023,United States,Mary Garrett Hay,C,329878000.0
30024,Netherlands,"Donald Mackay, 11th Lord Reay",C,17467000.0
30025,India,Shanti Swaroop Dhavan,Start,1400100000.0
30026,United States,Anita Lee Blair,C,329878000.0
30027,Japan,Isamu Sonoyama,Stub,125967000.0
30028,France,Jacques-Antoine Manuel,Start,64940000.0
30029,France,Anne Jean Marie René Savary,C,64940000.0
30030,Ukraine,Sergey Kozlov (politician),Stub,41778000.0
30031,China,Dorgon,FA,1402385000.0
30032,United States,Mike O'Callaghan,C,329878000.0
30033,Azerbaijan,Ganira Pashayeva,Start,10108000.0
30034,Federated States of Micronesia,Andon Amaraich,Start,106000.0
30035,Peru,Augusto Miyashiro,Stub,32824000.0
30036,Federated States of Micronesia,Bailey Olter,Stub,106000.0
30037,Denmark,Bjarne Corydon,Stub,5829000.0
30038,Canada,Buckley Belanger,Start,38190000.0
30039,Sri Lanka,M. E. H. Maharoof,C,21937000.0
30040,Sri Lanka,M. Mahroof,Stub,21937000.0
30041,China,Sheng Shicai,C,1402385000.0
30042,China,Ma Yize,Start,1402385000.0
30043,Japan,Abe no Hirafu,Start,125967000.0
30044,Taiwan,Kang Ning-hsiang,GA,23610000.0
30045,Luxembourg,Eugène Berger,Stub,632000.0
30046,France,Mireille Clapot,Stub,64940000.0
30047,Namibia,Buddy Wentworth,Stub,2541000.0
30048,France,Ludovic Mendes,Stub,64940000.0
30049,Cambodia,Sam Sary,Start,15497000.0
30050,Spain,Buenaventura de Abarzuza y Ferrer,Start,47635000.0
30051,Brazil,Bueno de Paiva,Stub,211812000.0
30052,France,Anne Brugnera,Stub,64940000.0
30053,France,Stanislas Guerini,Stub,64940000.0
30054,Malaysia,Mustapha Harun,C,32781000.0
30055,Pakistan,Muhammad Tariq Anis,Stub,220940000.0
30056,Pakistan,Mian Marghoob Ahmad,Stub,220940000.0
30057,Pakistan,Omer Sohail Zia Butt,Stub,220940000.0
30058,Australia,Lord Augustus Loftus,Start,25754000.0
30059,Sierra Leone,Richard Doherty (colonialist),Start,7977000.0
30061,Philippines,Val Sotto,Start,109581000.0
30063,Indonesia,Henk Ngantung,Start,271739000.0
30064,Nigeria,Bukky Wright,Start,206140000.0
30065,Pakistan,Saeed Ahmed Zafar,Stub,220940000.0
30066,Pakistan,Sardar Talib Hassan Nakai,Stub,220940000.0
30067,Pakistan,Rai Ghulam Mujtaba Kharral,Stub,220940000.0
30068,Pakistan,Sajjad-ul-Hassan,Stub,220940000.0
30069,Norway,Ælfgifu of Northampton,C,5387000.0
30070,Pakistan,Khuram Jehangir Wattoo,Stub,220940000.0
30071,Pakistan,Syed Ali Musa Gillani,Stub,220940000.0
30072,Serbia,Dragan Bogdanic,Stub,6957000.0
30073,Italy,Piero Torrigiani,Stub,60296000.0
30074,India,Alimineti Madhava Reddy,Start,1400100000.0
30075,Iran,Alireza Novin,Stub,84150000.0
30077,Marshall Islands,James Matayoshi,Start,57000.0
30078,Marshall Islands,Dennis Momotaro,Stub,57000.0
30079,Argentina,María Eugenia Vidal,C,45377000.0
30080,Japan,Bungo Tsuda,Stub,125967000.0
30081,China,Huchuquan,Start,1402385000.0
30082,Italy,Giacomo Matteotti,C,60296000.0
30083,Australia,Joseph Bosisto,Start,25754000.0
30084,Palestinian Territory,Kamel al-Budeiri,Start,5008000.0
30085,Ukraine,Yaroslav Brisiuck,Start,41778000.0
30086,New Zealand,Puti Tipene Watene,C,4987000.0
30087,Palestinian Territory,Zuheir Mohsen,C,5008000.0
30088,Belgium,Ferdinand de Baillet-Latour,Stub,11515000.0
30089,France,Thomas Rudigoz,Stub,64940000.0
30090,Greece,Katerina Savvaidou,C,10700000.0
30091,United States,John Brooks (mayor),Stub,329878000.0
30092,Netherlands,Eegje Schoo,Stub,17467000.0
30093,Netherlands,Arie Pais,Stub,17467000.0
30094,Spain,Lydia Zimmermann,C,47635000.0
30095,Indonesia,Jacob Prai,Stub,271739000.0
30096,Ireland,John McKeague,B,5003000.0
30097,France,Laëtitia Romeiro Dias,Stub,64940000.0
30098,United Arab Emirates,Sultan bin Saeed Al Mansoori,Stub,9778000.0
30099,Pakistan,Miangul Asfandyar Amir Zeb,Start,220940000.0
30100,Hungary,Péter Várkonyi,Stub,9767000.0
30101,Hungary,Endre Sík,Start,9767000.0
30102,Australia,Burman Lauga,Stub,25754000.0
30103,Hungary,Ernő Mihályfi,Stub,9767000.0
30104,Hungary,János Gyöngyösi,Start,9767000.0
30105,France,Stéphanie Rist,Stub,64940000.0
30106,Denmark,Kirsten Auken,Stub,5829000.0
30107,Hungary,Károly Andrássy,Stub,9767000.0
30108,Hungary,József Szájer,Start,9767000.0
30109,Turkey,Ahmet Reyiz Yılmaz,Start,83737000.0
30110,Mali,Mahmoud Ag Aghaly,Stub,20251000.0
30111,United Kingdom,Rod Kenyon,Start,67160000.0
30112,Kenya,Burudi Nabwera,Stub,53528000.0
30113,United States,Delmas H. Nucker,Stub,329878000.0
30114,Russia,Ignaz Aurelius Fessler,Start,146733000.0
30115,Finland,Piia-Noora Kauppi,Start,5529000.0
30116,Malaysia,Chris Lee Chun Kit,Start,32781000.0
30117,Ireland,Desmond Boal,Start,5003000.0
30118,Kenya,Otieno Kajwang,Stub,53528000.0
